id;sr_no;uid;rfq_id;order_date;start_date;end_date;item_description;rfq_status;rfq_type;customer;rfq_received_date;quote_due_date;part;buyer;expected_launch;requestor;ra_status;is_delete;customer_feedback
1;16970;1c05065c-3113-4c74-9214-c34c437dae7f;as;2025-01-07;2025-01-06;2025-01-07;though before ew;though;likewise squirm conceptualize;parched inwardly;2025-01-07;2025-01-07;energetically inwardly;duh absentmindedly;once since;unscramble yowza fiddle;muted without;31372;among male
2;18988;f0f7376d-fef3-4422-985e-9a403d72efdf;lazily;2025-01-07;2025-01-06;2025-01-07;waist safe;arbitrate;flawed incinerate;in;2025-01-07;2025-01-07;miserly;keenly;private;even;because bravely;837;openly
3;1053;806c2b28-67e9-4a90-8597-3895668c8289;once whoa;2025-01-06;2025-01-07;2025-01-07;gah ew;pity;nimble;huzzah;2025-01-07;2025-01-06;up;furiously phew configuration;ha toward;rarely sometimes yearningly;now positively icy;11142;pish
4;17413;a6d895c2-8ac9-4556-9bd7-d74c83f17a7b;duh ownership subtle;2025-01-07;2025-01-07;2025-01-07;deliberately and cook;um deprave knowingly;hovercraft whether;beep progress absent;2025-01-07;2025-01-06;underneath per;tusk unless;successfully frenetically innovation;lest;about wolf;23853;carefree
5;3569;ae8553e8-ec23-41a5-a70c-48cc0fad7dc4;obedient;2025-01-07;2025-01-07;2025-01-07;glisten repeatedly;sans;slimy even daughter;vice;2025-01-07;2025-01-07;save;waterspout;carefully outside faraway;toward;dull;25936;monthly indeed drat
6;8646;a4d97ddf-3b24-4f19-a038-d7e8c5385437;jut;2025-01-07;2025-01-06;2025-01-07;unzip malfunction;violently while capitalize;hovercraft perfumed woot;ack notwithstanding as;2025-01-07;2025-01-06;upon slimy;ceramic but enlightened;hmph only;segregate sunder always;speedily;24330;zowie
7;19386;cab93748-efdb-47e3-bdb1-cd06202448ea;absolve till;2025-01-07;2025-01-06;2025-01-06;midst;gadzooks till;developing;premeditation;2025-01-06;2025-01-07;whale infamous configuration;inquisitively aw;flashy popularize generously;yahoo questioningly;simple;2408;the
8;23833;ba8ee02e-e11d-405c-b9a2-a06b61822885;than thankfully stingy;2025-01-06;2025-01-06;2025-01-07;hypothesise;silver before scruple;profitable;under satirise phooey;2025-01-06;2025-01-07;showboat;cop daintily;cauliflower once;without;the phew;24330;agreement serpentine first
9;9808;9be2f1c3-666c-47d9-91c3-e5248c8e0db4;times;2025-01-07;2025-01-06;2025-01-07;eek;bah instead and;appreciate amongst mainstream;round horn;2025-01-06;2025-01-06;dash precedent;er;instead lounge nor;likewise;carelessly mortise;14923;oxygenate likewise
10;27077;a85c9fea-d315-4b40-ad45-cc823bd41e04;although oof curiously;2025-01-07;2025-01-07;2025-01-06;showy;even;consequently yowza;among with miscalculate;2025-01-07;2025-01-07;reconstitute;rotating phew imagineer;before symbolise thorny;flight;lift inasmuch;31747;as
